독립변수,k,테스트정확도,N=3,옐로페이
"[8, 9, 10, 11, 13]",7,79.71,,
"[3, 11, 13]",3,78.26,,
"[3, 11, 13]",4,78.26,,
"[8, 10, 11, 13]",7,78.26,,
"[8, 11]",3,78.26,,
"[8, 11]",4,78.26,,
"[8, 11, 13]",5,78.26,,
"[8, 11, 13]",6,78.26,,
"[3, 8, 9, 10, 11, 13]",5,76.81,,
"[3, 8, 9, 10, 11, 13]",6,76.81,,
"[3, 13]",3,76.81,,
"[3, 13]",4,76.81,,
"[4, 9, 10, 11, 13]",3,76.81,,
"[4, 9, 10, 11, 13]",4,76.81,,
"[4, 10, 11, 13]",5,76.81,,
"[4, 10, 11, 13]",6,76.81,,
"[4, 13]",3,76.81,,
"[4, 13]",4,76.81,,
"[5, 6, 7, 8, 9, 10, 11, 13]",3,76.81,,
"[5, 8, 9, 10, 11, 13]",5,76.81,,
"[6, 8, 9]",5,76.81,,
"[6, 8, 9]",6,76.81,,
"[6, 9, 10]",5,76.81,,
"[6, 10, 11]",5,76.81,,
"[7, 11, 13]",5,76.81,,
"[8, 10, 11]",5,76.81,,
"[8, 11, 13]",7,76.81,,
"[9, 10, 11]",5,76.81,,
"[9, 10, 11]",6,76.81,,
"[9, 10, 11, 13]",5,76.81,,
"[9, 10, 11, 13]",6,76.81,,
"[9, 10, 11, 13]",7,76.81,,
"[10, 11, 13]",5,76.81,,
"[10, 11, 13]",7,76.81,,
"[10, 13]",5,76.81,,
"[10, 13]",6,76.81,,
"[11, 13]",5,76.81,,
"[11, 13]",6,76.81,,
"[3, 5, 6, 7, 8, 9, 10, 11, 13]",3,75.36,,
"[3, 5, 6, 7, 8, 9, 10, 11, 13]",4,75.36,,
"[3, 8, 9, 10, 11]",5,75.36,,
"[3, 11, 13]",5,75.36,,
"[3, 11, 13]",6,75.36,,
"[4, 6, 7, 8, 9, 10, 11, 13]",3,75.36,,
"[4, 6, 7, 8, 9, 10, 11, 13]",4,75.36,,
"[4, 7, 8, 9, 10, 11, 13]",3,75.36,,
"[4, 8, 9, 10, 11, 13]",5,75.36,,
"[4, 8, 9, 10, 11, 13]",6,75.36,,
"[4, 9, 10, 11]",4,75.36,,
"[4, 9, 10, 11, 13]",5,75.36,,
"[4, 9, 10, 11, 13]",6,75.36,,
"[4, 11, 13]",3,75.36,,
"[4, 11, 13]",4,75.36,,
"[5, 6, 7, 8, 9, 10, 11, 13]",5,75.36,,
"[5, 9, 10, 11]",6,75.36,,
"[5, 11, 13]",7,75.36,,
"[6, 8, 9, 10]",7,75.36,,
"[6, 8, 9, 10, 11]",5,75.36,,
"[6, 8, 9, 10, 11]",6,75.36,,
"[6, 8, 9, 10, 11]",7,75.36,,
"[6, 8, 9, 10, 11, 13]",5,75.36,,
"[6, 8, 9, 10, 11, 13]",6,75.36,,
"[6, 8, 9, 10, 11, 13]",7,75.36,,
"[6, 9, 10, 11]",5,75.36,,
"[6, 9, 10, 11]",6,75.36,,
"[7, 11, 13]",6,75.36,,
"[7, 13]",6,75.36,,
"[8, 9, 10, 11, 13]",5,75.36,,
"[8, 9, 10, 11, 13]",6,75.36,,
"[8, 10, 11]",6,75.36,,
"[8, 10, 11, 13]",5,75.36,,
"[8, 10, 11, 13]",6,75.36,,
"[8, 11]",5,75.36,,
"[8, 11]",6,75.36,,
"[8, 13]",5,75.36,,
"[8, 13]",6,75.36,,
"[9, 11, 13]",5,75.36,,
"[9, 11, 13]",6,75.36,,
"[3, 4, 5, 6, 7, 8, 9, 10, 11, 13]",3,73.91,,
"[3, 5, 6, 7, 8, 9, 10, 11, 13]",5,73.91,,
"[3, 7, 8, 9, 10, 11, 13]",5,73.91,,
"[3, 8, 9, 10, 11]",6,73.91,,
"[3, 9, 10]",6,73.91,,
"[3, 9, 10, 11]",5,73.91,,
"[3, 9, 10, 11]",6,73.91,,
"[3, 9, 10, 11, 13]",5,73.91,,
"[3, 9, 10, 11, 13]",6,73.91,,
"[3, 10, 11]",5,73.91,,
"[3, 10, 11, 13]",6,73.91,,
"[3, 11]",3,73.91,,
"[4, 6, 7, 8, 9]",6,73.91,,
"[4, 8]",4,73.91,,
"[4, 8]",5,73.91,,
"[4, 8, 9, 10]",7,73.91,,
"[4, 8, 9, 10, 11]",7,73.91,,
"[4, 8, 9, 10, 11, 13]",3,73.91,,
"[4, 8, 9, 10, 11, 13]",4,73.91,,
"[4, 9]",3,73.91,,
"[4, 9, 10, 11]",5,73.91,,
"[4, 9, 10, 11]",6,73.91,,
"[4, 10, 11]",5,73.91,,
"[4, 11]",6,73.91,,
"[5, 6, 7, 8, 9, 10, 11, 13]",6,73.91,,
"[5, 7, 8, 9, 10, 11, 13]",5,73.91,,
"[5, 8, 9, 10]",5,73.91,,
"[5, 9, 10]",5,73.91,,
"[5, 9, 10, 11]",5,73.91,,
"[5, 9, 10, 11]",7,73.91,,
"[5, 13]",5,73.91,,
"[5, 13]",6,73.91,,
"[6, 7, 8, 9, 10, 11, 13]",5,73.91,,
"[6, 8, 9, 10]",5,73.91,,
"[6, 8, 9, 10]",6,73.91,,
"[6, 9]",7,73.91,,
"[6, 9, 10, 11]",7,73.91,,
"[6, 9, 10, 11, 13]",5,73.91,,
"[6, 9, 10, 11, 13]",6,73.91,,
"[6, 10, 11, 13]",5,73.91,,
"[6, 10, 11, 13]",6,73.91,,
"[6, 11]",6,73.91,,
"[6, 11, 13]",7,73.91,,
"[7, 9, 10, 11, 13]",6,73.91,,
"[8, 9, 10, 11]",5,73.91,,
"[8, 9, 10, 11]",6,73.91,,
"[8, 10, 11]",7,73.91,,
"[9, 10, 11]",3,73.91,,
"[9, 10, 11]",4,73.91,,
"[10, 11]",7,73.91,,
"[3, 4, 5, 6, 7, 8]",5,72.46,,
"[3, 4, 5, 6, 7, 8, 9]",5,72.46,,
"[3, 4, 5, 6, 7, 8, 9, 10, 11, 13]",4,72.46,,
"[3, 4, 5, 6, 7, 8, 9, 10, 11, 13]",5,72.46,,
"[3, 5, 6, 7, 8, 9, 10, 11, 13]",6,72.46,,
"[3, 7, 8, 9, 10, 11, 13]",6,72.46,,
"[3, 8]",4,72.46,,
"[3, 8, 9, 10, 11]",7,72.46,,
"[3, 8, 9, 10, 11, 13]",7,72.46,,
"[3, 9, 10]",7,72.46,,
"[3, 9, 10, 11]",7,72.46,,
"[3, 10, 11]",7,72.46,,
"[3, 10, 11, 13]",5,72.46,,
"[3, 13]",6,72.46,,
"[4, 5, 6, 7, 8, 9, 10]",5,72.46,,
"[4, 5, 6, 7, 8, 9, 10, 11]",5,72.46,,
"[4, 5, 6, 7, 8, 9, 10, 11, 13]",5,72.46,,
"[4, 6, 7, 8]",5,72.46,,
"[4, 8]",7,72.46,,
"[4, 8, 9]",7,72.46,,
"[4, 8, 9, 10, 11]",3,72.46,,
"[4, 8, 9, 10, 11]",4,72.46,,
"[4, 8, 9, 10, 11, 13]",7,72.46,,
"[4, 9]",5,72.46,,
"[4, 9]",7,72.46,,
"[4, 9, 10]",6,72.46,,
"[4, 9, 10, 11]",7,72.46,,
"[4, 10, 11, 13]",7,72.46,,
"[4, 11]",3,72.46,,
"[4, 11, 13]",5,72.46,,
"[4, 11, 13]",6,72.46,,
"[4, 13]",5,72.46,,
"[4, 13]",6,72.46,,
"[5, 6, 7, 8]",5,72.46,,
"[5, 6, 7, 8, 9, 10]",6,72.46,,
"[5, 7, 8, 9, 10, 11]",6,72.46,,
"[5, 7, 8, 9, 10, 11, 13]",6,72.46,,
"[5, 8]",5,72.46,,
"[5, 8]",6,72.46,,
"[5, 8, 9, 10]",7,72.46,,
"[5, 8, 9, 10, 11]",3,72.46,,
"[5, 8, 9, 10, 11]",4,72.46,,
"[5, 8, 9, 10, 11]",5,72.46,,
"[5, 8, 9, 10, 11]",6,72.46,,
"[5, 8, 9, 10, 11]",7,72.46,,
"[5, 9, 10]",6,72.46,,
"[5, 9, 10]",7,72.46,,
"[5, 9, 10, 11, 13]",6,72.46,,
"[5, 10]",7,72.46,,
"[5, 10, 11]",6,72.46,,
"[5, 10, 11]",7,72.46,,
"[5, 10, 11, 13]",6,72.46,,
"[5, 11]",5,72.46,,
"[6, 7, 8]",6,72.46,,
"[6, 9, 10]",6,72.46,,
"[6, 9, 10]",7,72.46,,
"[6, 10]",6,72.46,,
"[6, 10]",7,72.46,,
"[6, 10, 11]",6,72.46,,
