basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value,cv_diif_value,cv_diif_rate,cv_maN_value,cv_maN_rate,ud_Nd,cvNd_diff_rate,vv_diif_value,vv_diif_rate,vv_maN_value,vv_maN_rate
20170116,øª∑Œ∆‰¿Ã,179720,397,399,397,399,2601,0,0,0,0,∫Ò±≥∫“∞°,∫Ò±≥∫“∞°,0,0,0,0
20170117,øª∑Œ∆‰¿Ã,179720,387,399,387,399,2601,0,0.0,0,0,∫Ò±≥∫“∞°,0.0,0,0.0,0,0
20170118,øª∑Œ∆‰¿Ã,179720,387,399,387,399,2601,0,0.0,399.0,0,0,2.76,0,0.0,2601.0,0
20170119,øª∑Œ∆‰¿Ã,179720,387,410,387,410,2601,11,2.76,402.6666666666667,0.92,0,-0.5,0,0.0,2601.0,0.0
20170120,øª∑Œ∆‰¿Ã,179720,397,397,397,397,2600,-13,-3.17,402.0,-0.17,0,-0.49,-1,-0.04,2600.6666666666665,-0.01
20170123,øª∑Œ∆‰¿Ã,179720,385,408,385,408,2601,11,2.77,405.0,0.75,0,5.29,1,0.04,2600.6666666666665,0.0
20170124,øª∑Œ∆‰¿Ã,179720,395,418,395,418,2601,10,2.45,407.6666666666667,0.66,1,16.67,0,0.0,2600.6666666666665,0.0
20170125,øª∑Œ∆‰¿Ã,179720,418,476,418,476,2,58,13.88,434.0,6.46,1,16.51,-2599,-99.92,1734.6666666666667,-33.3
20170126,øª∑Œ∆‰¿Ã,179720,461,487,461,487,2201,11,2.31,460.3333333333333,6.07,1,16.39,2199,109950.0,1601.3333333333333,-7.69
20170131,øª∑Œ∆‰¿Ã,179720,554,554,554,554,1,67,13.76,505.6666666666667,9.85,1,16.22,-2200,-99.95,734.6666666666666,-54.12
20170201,øª∑Œ∆‰¿Ã,179720,471,566,471,566,2001,12,2.17,535.6666666666666,5.93,0,-13.0,2000,200000.0,1401.0,90.7
20170202,øª∑Œ∆‰¿Ã,179720,482,482,482,482,2,-84,-14.84,534.0,-0.31,0,-2.47,-1999,-99.9,668.0,-52.32
20170203,øª∑Œ∆‰¿Ã,179720,410,552,410,552,2,70,14.52,533.3333333333334,-0.12,0,17.22,0,0.0,668.3333333333334,0.05
20170206,øª∑Œ∆‰¿Ã,179720,535,565,535,565,1901,13,2.36,533.0,-0.06,0,-6.34,1899,94950.0,635.0,-4.99
20170207,øª∑Œ∆‰¿Ã,179720,517,517,517,517,0,-48,-8.5,544.6666666666666,2.19,0,4.96,-1901,-100.0,634.3333333333334,-0.1
20170208,øª∑Œ∆‰¿Ã,179720,593,593,593,593,1,76,14.7,558.3333333333334,2.51,0,-2.32,1,0,634.0,-0.05
20170209,øª∑Œ∆‰¿Ã,179720,505,505,505,505,0,-88,-14.84,538.3333333333334,-3.58,0,-15.85,-1,-100.0,0.3333333333333333,-99.95
20170210,øª∑Œ∆‰¿Ã,179720,499,499,499,499,0,-6,-1.19,532.3333333333334,-1.11,-1,-2.18,0,0,0.3333333333333333,0.0
20170213,øª∑Œ∆‰¿Ã,179720,494,494,494,494,0,-5,-1.0,499.3333333333333,-6.2,0,12.22,0,0,0.0,-100.0
20170214,øª∑Œ∆‰¿Ã,179720,565,565,420,560,39,66,13.36,517.6666666666666,3.67,0,-3.64,39,0,13.0,0
20170215,øª∑Œ∆‰¿Ã,179720,476,476,476,476,57,-84,-15.0,510.0,-1.48,0,-10.71,18,46.15,32.0,146.15
20170216,øª∑Œ∆‰¿Ã,179720,500,500,500,500,10,24,5.04,512.0,0.39,0,20.38,-47,-82.46,35.333333333333336,10.42
20170217,øª∑Œ∆‰¿Ã,179720,425,573,425,573,10,73,14.6,516.3333333333334,0.85,0,-2.4,0,0.0,25.666666666666668,-27.36
20170220,øª∑Œ∆‰¿Ã,179720,488,652,488,488,15,-85,-14.83,520.3333333333334,0.77,0,-27.57,5,50.0,11.666666666666666,-54.55
20170221,øª∑Œ∆‰¿Ã,179720,415,557,415,415,1429,-73,-14.96,492.0,-5.45,0,-3.69,1414,9426.67,484.6666666666667,4054.29
20170222,øª∑Œ∆‰¿Ã,179720,353,470,353,470,1000,55,13.25,457.6666666666667,-6.98,0,-3.61,-429,-30.02,814.6666666666666,68.09
20170223,øª∑Œ∆‰¿Ã,179720,400,400,400,400,7,-70,-14.89,428.3333333333333,-6.41,0,-14.89,-993,-99.3,812.0,-0.33
20170224,øª∑Œ∆‰¿Ã,179720,400,400,400,400,0,0,0.0,423.3333333333333,-1.17,0,15.0,-7,-100.0,335.6666666666667,-58.66
20170227,øª∑Œ∆‰¿Ã,179720,457,460,457,460,10,60,15.0,420.0,-0.79,0,32.25,10,0,5.666666666666667,-98.31
20170228,øª∑Œ∆‰¿Ã,179720,529,529,529,529,3,69,15.0,463.0,10.24,1,15.87,-7,-70.0,4.333333333333333,-23.53
20170302,øª∑Œ∆‰¿Ã,179720,450,533,450,533,6,4,0.76,507.3333333333333,9.58,0,-6.05,3,100.0,6.333333333333333,46.15
20170303,øª∑Œ∆‰¿Ã,179720,497,497,497,497,0,-36,-6.75,519.6666666666666,2.43,0,-20.64,-6,-100.0,3.0,-52.63
20170306,øª∑Œ∆‰¿Ã,179720,423,423,423,423,0,-74,-14.89,484.3333333333333,-6.8,-1,-27.57,0,0,2.0,-33.33
20170307,øª∑Œ∆‰¿Ã,179720,360,360,360,360,3,-63,-14.89,426.6666666666667,-11.91,0,-12.77,3,0,1.0,-50.0
20170308,øª∑Œ∆‰¿Ã,179720,369,369,369,369,50,9,2.5,384.0,-10.0,0,17.22,47,1566.67,17.666666666666668,1666.67
20170309,øª∑Œ∆‰¿Ã,179720,422,422,422,422,2,53,14.36,383.6666666666667,-0.09,0,5.69,-48,-96.0,18.333333333333332,3.77
20170310,øª∑Œ∆‰¿Ã,179720,390,390,390,390,0,-32,-7.58,393.6666666666667,2.61,0,6.16,-2,-100.0,17.333333333333332,-5.45
20170313,øª∑Œ∆‰¿Ã,179720,332,448,332,448,993,58,14.87,420.0,6.69,0,30.77,993,0,331.6666666666667,1813.46
20170314,øª∑Œ∆‰¿Ã,179720,510,510,510,510,1,62,13.84,449.3333333333333,6.98,0,-3.12,-992,-99.9,331.3333333333333,-0.1
20170315,øª∑Œ∆‰¿Ã,179720,434,460,434,434,10,-76,-14.9,464.0,3.26,0,-2.35,9,900.0,334.6666666666667,1.01
20170316,øª∑Œ∆‰¿Ã,179720,498,498,498,498,1,64,14.75,480.6666666666667,3.59,0,-2.3,-9,-90.0,4.0,-98.8
20170317,øª∑Œ∆‰¿Ã,179720,424,424,424,424,0,-74,-14.86,452.0,-5.96,0,-2.61,-1,-100.0,3.6666666666666665,-8.33
20170320,øª∑Œ∆‰¿Ã,179720,424,485,361,485,379,61,14.39,469.0,3.76,0,3.77,379,0,126.66666666666667,3354.55
20170321,øª∑Œ∆‰¿Ã,179720,440,440,440,440,2200,-45,-9.28,449.6666666666667,-4.12,0,-22.89,1821,480.47,859.6666666666666,578.68
20170322,øª∑Œ∆‰¿Ã,179720,374,374,374,374,115,-66,-15.0,433.0,-3.71,-1,-22.27,-2085,-94.77,898.0,4.46
20170323,øª∑Œ∆‰¿Ã,179720,342,342,342,342,2800,-32,-8.56,385.3333333333333,-11.01,-1,-11.5,2685,2334.78,1705.0,89.87
20170324,øª∑Œ∆‰¿Ã,179720,331,331,331,331,3100,-11,-3.22,349.0,-9.43,0,-0.58,300,10.71,2005.0,17.6
20170327,øª∑Œ∆‰¿Ã,179720,330,340,330,340,2001,9,2.72,337.6666666666667,-3.25,0,17.82,-1099,-35.45,2633.6666666666665,31.35
20170328,øª∑Œ∆‰¿Ã,179720,289,390,289,390,5101,50,14.71,353.6666666666667,4.74,1,30.88,3100,154.92,3400.6666666666665,29.12
20170329,øª∑Œ∆‰¿Ã,179720,445,445,445,445,1,55,14.1,391.6666666666667,10.74,0,-2.82,-5100,-99.98,2367.6666666666665,-30.38
20170330,øª∑Œ∆‰¿Ã,179720,510,510,379,379,281,-66,-14.83,404.6666666666667,3.32,0,-27.42,280,28000.0,1794.3333333333333,-24.22
20170331,øª∑Œ∆‰¿Ã,179720,323,323,323,323,423,-56,-14.78,382.3333333333333,-5.52,0,-2.11,142,50.53,235.0,-86.9
20170403,øª∑Œ∆‰¿Ã,179720,275,371,275,371,28894,48,14.86,357.6666666666667,-6.45,0,31.27,28471,6730.73,9866.0,4098.3
20170404,øª∑Œ∆‰¿Ã,179720,425,425,316,424,12,53,14.29,372.6666666666667,4.19,1,20.49,-28882,-99.96,9776.333333333334,-0.91
20170405,øª∑Œ∆‰¿Ã,179720,486,486,361,447,31,23,5.42,414.0,11.09,0,3.77,19,158.33,9645.666666666666,-1.34
20170406,øª∑Œ∆‰¿Ã,179720,380,440,380,440,48,-7,-1.57,437.0,5.56,0,7.16,17,54.84,30.333333333333332,-99.69
20170407,øª∑Œ∆‰¿Ã,179720,480,480,374,479,12,39,8.86,455.3333333333333,4.2,0,25.0,-36,-75.0,30.333333333333332,0.0
20170410,øª∑Œ∆‰¿Ã,179720,408,550,408,550,11,71,14.82,489.6666666666667,7.54,0,-2.3,-1,-8.33,23.666666666666668,-21.98
20170411,øª∑Œ∆‰¿Ã,179720,631,631,468,468,11213,-82,-14.91,499.0,1.91,0,-23.09,11202,101836.36,3745.3333333333335,15725.35
20170412,øª∑Œ∆‰¿Ã,179720,398,515,398,423,47,-45,-9.62,480.3333333333333,-3.74,0,-4.27,-11166,-99.58,3757.0,0.31
20170413,øª∑Œ∆‰¿Ã,179720,360,448,360,448,112,25,5.91,446.3333333333333,-7.08,0,5.2,65,138.3,3790.6666666666665,0.9
20170414,øª∑Œ∆‰¿Ã,179720,434,447,434,445,2419,-3,-0.67,438.6666666666667,-1.72,0,-15.4,2307,2059.82,859.3333333333334,-77.33
20170417,øª∑Œ∆‰¿Ã,179720,379,379,379,379,2400,-66,-14.83,424.0,-3.34,0,-12.81,-19,-0.79,1643.6666666666667,91.27
20170418,øª∑Œ∆‰¿Ã,179720,367,388,323,388,2802,9,2.37,404.0,-4.72,0,12.14,402,16.75,2540.3333333333335,54.55
20170419,øª∑Œ∆‰¿Ã,179720,330,425,330,425,18,37,9.54,397.3333333333333,-1.65,1,14.69,-2784,-99.36,1740.0,-31.51
20170420,øª∑Œ∆‰¿Ã,179720,482,482,362,445,3,20,4.71,419.3333333333333,5.54,0,-10.82,-15,-83.33,941.0,-45.92
20170421,øª∑Œ∆‰¿Ã,179720,379,379,379,379,2400,-66,-14.83,416.3333333333333,-0.72,0,-12.58,2397,79900.0,807.0,-14.24
